,Name,City,Cuisines,Average Cost,Aggregate Rating
4128,Singz,Niagara Falls,"Tea, Mexican, Bakery, Italian",40,2.9
4129,Sona Bakers,San Antonio,"Mexican, Bakery, Seafood",20,3.4
4130,Tak - a - Tak,Anchorage,"Pizza, Bakery, Fast Food, Cafe, Mediterranean",93,3.3
4131,The Great Indian Food Truck,Gustavus,"Fast Food, BBQ, Italian",17,3.0
4132,Tihar Food Court,Little Rock,"Tea, Seafood, Cafe, Fast Food",66,2.9
4133,Uncle Da Dhabha,San Francisco,"Seafood, Bakery, Fast Food",60,3.0
4134,Variety Chicken Corner,Flagstaff,"Pizza, BBQ",54,2.9
4135,Wah Ji Wah,Deadhorse,"Cafe, Mexican, Pizza, Seafood",19,2.5
4136,9 Scoops,Rapid City,"Mexican, Desserts, Seafood",61,3.6
4137,Kati Roll Cottage,Petersburg,"Bakery, Seafood",60,3.5
4138,Pul Bangash Wale,Long Beach,"Pizza, Desserts",57,3.7
4139,Sunny Chicken Soup,Houston,"Tea, BBQ, Desserts, Seafood",60,3.6
4140,Yo Momos,Redding,"Desserts, Bakery, Fast Food, Cafe, Mediterranean",90,3.7
4141,Bikaner Sweets,Ogdensburg,"Pizza, Bakery, Mediterranean, Fast Food",57,0.0
4142,Bittoo Murge Wala,Hilton Head,"Pizza, BBQ, Desserts, Seafood",19,0.0
4143,Jalebi Wala,Bishop,"Tea, BBQ, Seafood",73,0.0
4144,Just Parkash,Albany,"Fast Food, Bakery, Italian",63,0.0
4145,Kwality Sweet Corner,Kahului,"Chinese, Bakery, Cafe, Fast Food",21,0.0
4146,Mohan Chaat Corner,Grand Rapids,"French, Pizza, Cafe, BBQ",25,0.0
4147,Mr. Momo,New Orleans,"Desserts, Tea, Pizza, Cafe, Mediterranean",86,0.0
4148,Pishori Chicken Corner,Oklahoma City,"Desserts, Mexican, Bakery, Cafe, Mediterranean",37,0.0
4149,Punjab Patiyala Sahi,West Palm Beach,"Desserts, Fast Food, Cafe, Mediterranean, Seafood",35,0.0
4150,Shama Chicken Corner,Wichita,"Pizza, French, Mexican, BBQ, Seafood",91,0.0
4151,Wah G Wah,Eau Claire,"Tea, Mexican, Bakery, BBQ, Seafood",61,0.0
4152,Grillz,Harrisburg,"Bakery, Desserts, American, BBQ",99,2.2
4153,The Barbeque Company,Fort Wayne,"Bakery, BBQ, Fast Food, Cafe, American",88,4.2
4154,Anmol Chicken Corner,Manchester,"Bakery, Mexican, Pizza",92,3.1
4155,Babu Bhai Kabab Wale,Traverse City,"Chinese, Cafe, Desserts",60,3.4
4156,Chicken Mughlai,Champaign,"Cafe, Mexican, Bakery, BBQ",96,3.0
4157,Cool Point Shahi Tukda,Bakersfield,"Pizza, Desserts, Fast Food",50,3.1
4158,Jawahar Hotel,Moab,"Pizza, BBQ, Cafe, Indian, Seafood",12,3.4
4159,Lalu Kababe,Hartford,"Desserts, Tea, Pizza, Fast Food, American, Mediterranean",57,3.2
4160,Phelwan Biryani Wala,Montgomery,"Cafe, Pizza, BBQ, Seafood",82,3.0
4161,Qureshi Kabab Corner,Eau Claire,"Tea, Pizza, American, BBQ",73,3.0
4162,Al Jawahar,Santa Ana,"Tea, Pizza, Italian, Mexican, Bakery, Cafe",16,3.8
4163,Aslam Chicken,Idaho Falls,"Cafe, Bakery, BBQ, Desserts",54,3.9
4164,Dil Pasand Biryani Point,Gustavus,"Tea, French, Desserts",80,3.5
4165,Haji Mohd. Hussain,Florence,"Pizza, BBQ",52,3.6
4166,Kallan Sweets,Lake Charles,"Cafe, Seafood, Italian",54,3.8
4167,The Walled City - Caf愆 & Lounge,Bemidji,"Desserts, Pizza, BBQ, Fast Food, Mediterranean",69,3.8
4168,Al-Nawab,Palm Springs,"French, Bakery, BBQ",35,0.0
4169,Ameer Sweets House,Memphis,"Tea, Pizza, Bakery, Fast Food, Chinese",19,0.0
4170,Anwar Food Corner,Gainesville,"Tea, Bakery, Desserts",49,0.0
4171,Fish Point,Pittsburgh,"Desserts, Cafe, Pizza, Mexican, BBQ, Chinese",68,0.0
4172,Golden Bakery,Lake Charles,"Chinese, Cafe, Desserts, Fast Food",70,0.0
4173,Hotel Maidah,Santa Rosa,"Tea, Pizza, Indian, Mediterranean, Seafood",46,0.0
4174,Lahori Food,Austin,"Chinese, Bakery, BBQ, Fast Food",57,0.0
4175,Majlis Foods,Del Rio,"Tea, Pizza, BBQ, Seafood",98,0.0
4176,Cool Point,Key West,"BBQ, French, Pizza, Desserts",65,4.2
4177,Haji Shabrati Nihari Wale,Ithaca,"Bakery, Fast Food",82,4.0
4178,Karim's,Portsmouth,"Tea, Bakery, Desserts",54,4.0
4179,Qureshi Kabab Corner,Vernal,"Pizza, Mexican, Bakery, Fast Food, Cafe",27,4.3
4180,Bake Bikaner,Hartford,"Pizza, Bakery, BBQ, Fast Food, American",65,3.3
4181,Barista,Abilene,"Fast Food, Mexican, Bakery, Pizza",88,3.3
4182,Behrouz Biryani,Yuma,"BBQ, Fast Food, Cafe, American, Seafood",31,3.4
4183,Brunchilli,San Juan,"Desserts, Tea, Italian, Bakery, BBQ",66,3.2
4184,Cafe Coffee Day,Oakland,"Mexican, Bakery, Seafood",55,3.4
4185,Chawla Dillivala,Cedar City,"Desserts, Italian, Fast Food, Cafe, American",24,2.7
4186,Dhaba Ambarsariya,Hilton Head,"French, BBQ, Mediterranean, Seafood",47,3.3
4187,Domino's Pizza,Pittsburgh,"Tea, Mexican, Pizza, Fast Food",69,3.4
4188,GPW - The Food Hub,Vernal,"Desserts, Mexican, Pizza, BBQ",65,3.0
4189,Green Bhojanalya,Manchester,"Desserts, Tea, Fast Food, Cafe, Mediterranean",20,3.2
4190,Hira Sweets,Ogden,"Tea, Cafe, Indian, Fast Food",45,2.5
4191,Hot Curries,Raleigh,"BBQ, Seafood",57,3.4
4192,Meenu Caterers,Niagara Falls,"Tea, Cafe, BBQ, Fast Food",25,2.7
4193,Moti Mahal Delux,Santa Maria,"Fast Food, Bakery, American, Italian",94,2.6
4194,New Kadimi,Baltimore,"Desserts, Pizza, BBQ, Fast Food, Chinese",91,2.5
4195,Polka Pastry & Snack Bar,Texarkana,"Fast Food, BBQ, Italian",71,3.2
4196,Pudding & Pie,Kahului,"Pizza, Mexican, Fast Food, Cafe, Seafood",75,3.4
4197,Singz,Mission,"Pizza, Bakery",88,2.5
4198,Slice of Italy,Killeen,"Desserts, Tea, Mexican, Bakery, Seafood",89,3.4
4199,Subway,Decatur,"Desserts, BBQ, Bakery, Fast Food, American",40,3.1
4200,Suruchee,Newark,"Tea, Pizza, Bakery, BBQ, Chinese",44,3.4
4201,The Bubble Tea Cafe,Columbus,"Tea, Indian, Fast Food",65,3.0
4202,The Destination,Salt Lake City,"BBQ, American, Desserts",36,3.3
4203,The Night Delights,Ontario,"Cafe, BBQ, Seafood",42,3.4
4204,Tingling Pepper,St. Louis,"Tea, Cafe",26,3.4
4205,Wah G Wah,Walla Walla,"Tea, Mexican, Bakery, BBQ, Fast Food",45,2.7
4206,Midnight Hunger Hub,Dayton,"Tea, BBQ, Seafood",87,4.5
4207,BarShala,Miami,"Desserts, Pizza, Bakery, Mediterranean, Seafood",41,3.5
4208,Bemisaal Reloaded,Sioux City,"Desserts, Tea, Mexican, Bakery, Cafe",17,3.8
4209,Bon App愆tit,Mason City,"Bakery, Indian, Seafood",49,3.8
4210,Burger Point,Ogden,"Tea, Bakery, BBQ, Cafe",71,3.6
4211,Cakes 'n' Crumbs,Belleville,"Cafe, Indian, Fast Food",85,3.6
4212,China Fort,Duluth,"BBQ, Indian, Desserts",40,3.5
4213,Giani,Houston,"Cafe, Pizza, BBQ",97,3.5
4214,Hot Cherries,Monterey,"Bakery, Seafood",80,3.6
4215,KFC,Lewisburg,"Bakery, Indian, Desserts",39,3.5
4216,McDonald's,Grand Forks,"Italian, BBQ, Cafe, Mediterranean, Seafood",74,3.6
4217,Pasta Xpress,Gulfport,"Tea, Cafe, Seafood",90,3.6
4218,Tandoor Bar-Be-Que,Branson,"Italian, BBQ, Fast Food, Cafe, Seafood",35,3.5
4219,TBK Kulcha's,Wenatchee,"Bakery, Pizza, BBQ, Seafood",56,3.6
4220,The Pindi,Syracuse,"Pizza, Indian, Desserts",81,3.5
4221,The Tangy Tomatoes,Watertown,"Desserts, French, Fast Food, Indian, Seafood",10,3.7
4222,Thela,Nome,"Desserts, Tea, Pizza, Italian, Mexican, Seafood",40,3.5
4223,Wah Ji Wah,Hyannis,"Tea, BBQ, Fast Food",22,3.7
4224,Muffins,Richmond,"Chinese, Pizza, Cafe, Desserts",83,1.9
4225,Food Scouts,Walla Walla,"Tea, Mexican, Fast Food, Cafe, Indian",76,4.3
4226,Aggarwal Sweet India,Chattanooga,"Tea, Desserts",30,2.8
4227,Bhola Dhaba,Houston,"Tea, Italian, Cafe, Mediterranean, Seafood",65,2.8
4228,Cake Me Up,Omaha,"Tea, Cafe, Pizza, Fast Food",31,3.1
4229,Chawla Snacks,Atlanta,"Tea, Pizza",48,2.9
4230,Chef Joint,Austin,"Cafe, Pizza, Italian",89,3.2
4231,China Hut,Hilo,"Desserts, Tea, Bakery, Cafe, American",23,3.0
4232,Chinese Hut,Honolulu,"Desserts, Italian, Mexican, BBQ, Fast Food, Seafood",100,2.8
4233,Curries & Kebabs,Grand Junction,"Desserts, Mexican, Cafe, American, Seafood",74,2.7
4234,Giani's,Moab,"Pizza, Cafe, Indian, Mediterranean, Seafood",33,3.1
4235,Green Chick Chop,Las Vegas,"Cafe, Bakery, Seafood, Fast Food",82,3.1
4236,Kabul Restaurant,Kahului,"Desserts, Bakery, BBQ, Fast Food",58,2.8
4237,Kadimi Dukan,Latrobe,"Bakery, Mexican, BBQ",12,3.2
4238,Kadimi Sweets,Brunswick,"Desserts, Seafood",32,3.1
4239,McDonald's,Butte,"Mexican, Indian, Desserts, Pizza",23,3.4
4240,Modi Pastry Corner,Alamosa,"Cafe, Bakery",92,2.6
4241,New Evergreen Hotel,Dubuque,"French, Pizza, Bakery",98,2.9
4242,Nikku Hotel,Grand Island,"Desserts, BBQ, Bakery, Cafe, Indian",10,2.6
4243,Om Hotel,Pago Pago,"Desserts, Cafe, Pizza, Bakery, Chinese, American",14,3.3
4244,Pakeeza Burger,Manhattan,"French, Pizza, BBQ",13,2.6
4245,Paljees Fresh Baked,Charlotte Amalie,"Desserts, Pizza, Italian, French, BBQ, Cafe",39,3.1
4246,Pinka's Rasoi,Hyannis,"Cafe, Pizza, Bakery, BBQ",97,3.1
4247,Republic of Chicken,Adak Island,"Fast Food, Cafe, Mediterranean, Italian",10,2.8
4248,Sandwich & Sons,Des Moines,"Desserts, Tea, Pizza, Italian, French, Bakery",97,3.2
4249,Simple Restaurant,Plattsburgh,"Tea, Pizza, French, BBQ, Mediterranean, Seafood",15,3.0
4250,Subway,Dayton,"BBQ, Desserts, Seafood",11,3.3
4251,Tempting Bar-B-Que,Melbourne,"Cafe, Bakery, Mediterranean, Fast Food",66,3.3
4252,The Biryani Hut,Waco,"Tea, Cafe, Mediterranean, Desserts",58,2.9
4253,Beliram Degchiwala,Atlanta,"Cafe, Pizza",14,3.5
4254,Instapizza,Mission,"Tea, Cafe, Pizza, Seafood",24,3.9
4255,Janta Bakery,Louisville,"Tea, Fast Food, Mediterranean, Italian",48,3.6
4256,Pal Refreshment Corner,Cincinnati,"Pizza, BBQ",88,3.5
4257,Transform Nutrition,La Crosse,"Tea, BBQ, Fast Food",36,3.5
4258,Bhashi Caterers,New Orleans,"Tea, BBQ",16,0.0
4259,Birbal Ji Dhaba,Charlotte,"Cafe, Bakery, Desserts",40,0.0
4260,Chaap Express,Sun Valley,"Tea, Pizza, Italian, Fast Food, Seafood",84,0.0
4261,Daawat-e-Mehak,Johnstown,"Tea, French, Pizza",51,0.0
4262,Delhi Biryani Hut,Dallas,"Pizza, American, Seafood",90,0.0
4263,K. B. Eating Point,Branson,"Tea, Mexican, BBQ, Cafe, Seafood",43,0.0
4264,Kashmiri Wazwan,Hartford,"BBQ, Pizza, Indian, Desserts",26,0.0
4265,Maan Singh Halwai,Staunton,"French, Pizza, Fast Food",83,0.0
4266,Mughlai Darbar Muradabadi,Charlotte Amalie,"Bakery, Pizza, American",70,0.0
4267,P.S. Chinese & Thai Food,Charlottesville,"Chinese, BBQ, Seafood",81,0.0
4268,Pak Afghan Restaurant,Adak Island,"Tea, Bakery, Desserts, Fast Food",33,0.0
4269,Pakeeza Restaurants,Waterloo,"Desserts, Tea, Pizza, Italian, Bakery",62,0.0
4270,Radhe Shyam Chole Bhature,Tulsa,"Tea, Pizza, French, Cafe, Seafood",87,0.0
4271,Sanjha Chulha,Columbus,"Chinese, Bakery, BBQ, Italian",79,0.0
4272,Sardar A Pure Meat Shop,Tallahassee,"Desserts, Pizza, Italian, Fast Food, Seafood",31,0.0
4273,Shahi Muradabadi & Hyderabadi,Gulfport,"Tea, Pizza, American",24,0.0
4274,Shankar Chinese Foods,Adak Island,"Tea, French, Indian, Seafood",49,0.0
4275,Shri Ram Sweets,Bishop,"Mexican, Pizza, Mediterranean, Fast Food",41,0.0
4276,Subhash Punjabi Family Dhaba,New Orleans,"Pizza, Desserts",28,0.0
4277,Tandoori Nature,Cape Girardeau,"Seafood, Pizza, Bakery, Fast Food",67,0.0
4278,Tinker Koch,Boston,"Desserts, BBQ, Bakery, Fast Food, American",61,0.0
4279,Wakhra Swag,Bakersfield,"Chinese, BBQ, Cafe, Desserts",20,0.0
4280,Chawla's宊,Laredo,"Desserts, Pizza, BBQ, Chinese, Mediterranean",29,2.3
4281,Barbeque Nation,Duluth,"Tea, Pizza, Mexican, BBQ, Bakery, Chinese",89,4.0
4282,Novelty Dairy & Stores,Spokane,"Fast Food, Cafe, Bakery, Italian",80,4.1
4283,Caara Cafe,Fort Dodge,"Cafe, Desserts",13,3.3
4284,Cafe Coffee Day - The Lounge,Iron Mountain,"Bakery, Pizza, Indian, Fast Food",91,3.3
4285,Cafe Coffee Day,Alpena,"Desserts, Tea, French, BBQ, Bakery, American",22,3.1
4286,Costa Coffee,Elmira,"Fast Food, Tea, Pizza, Italian",51,3.4
4287,Gulnar - Hotel Janpath,Sun Valley,"Mexican, Bakery, Fast Food",84,3.2
4288,Kalpana Restaurant,Pensacola,"Tea, Cafe, Bakery, American",36,3.2
4289,Meenas,Gunnison,"Tea, Bakery, Indian, Fast Food",88,2.9
4290,Pizza Hut,Orlando,"Bakery, Pizza, Indian, Seafood",35,3.4
4291,Prince Chaat Corner,Nantucket,"Pizza, French, BBQ, Mediterranean, Seafood",27,3.2
4292,Rajeev Restaurant,Gustavus,"Desserts, Italian, Cafe, American, Seafood",76,3.0
4293,RSVP,Columbus,"BBQ, Desserts, Seafood",53,2.7
4294,Samridhi,Bakersfield,"Italian, Bakery, BBQ, Fast Food, Seafood",43,3.2
4295,Shan E Dilli,North Platte,"Seafood, Bakery, Mediterranean, Italian",54,3.0
4296,Svasti Cafe,Cody,"Tea, Pizza, Italian, Mexican, Bakery, Cafe",88,3.1
4297,The Zest,Wenatchee,"Seafood, BBQ, Desserts, Fast Food",10,3.2
4298,Masala Library,Branson,"Desserts, Tea, Fast Food, American, Seafood",58,4.9
4299,Bhogal Chole Bhature Wala,Asheville,"Tea, Indian, Seafood",93,3.8
4300,Bunta Bar,Sioux Falls,"Pizza, Italian, Fast Food, Cafe, American",22,3.9
4301,Cafe Coffee Day The Square,Devils Lake,"Tea, Pizza, Italian, Fast Food, Cafe",28,3.7
4302,Cottage Caf愆 by Smoothie factory,Bakersfield,"Cafe, BBQ, Desserts",32,3.7
4303,Depaul's,Seattle,"BBQ, Desserts, Seafood",83,3.7
4304,Fresc Co,Twin Falls,"Desserts, Mexican, BBQ, Mediterranean, Seafood",60,3.8
4305,Informal,Long Beach,"Desserts, Pizza, Fast Food, Cafe, Indian",63,3.9
4306,Lutyens Cocktail House,Buffalo,"Bakery, BBQ, Fast Food",12,3.9
4307,McDonald's,Jacksonville,"Tea, Indian, Desserts, Italian",15,3.8
4308,Office Office,Augusta,"Desserts, Cafe, Bakery, Fast Food, Chinese",16,3.9
4309,Pappu Chat Bhandar,Eugene,"Tea, Bakery, BBQ, Fast Food, Chinese",43,3.5
4310,The Beer Cafe,Kotzebue,"Desserts, Mexican, Fast Food, Mediterranean, Seafood",99,3.6
4311,The Masala Trail,Monterey,"Cafe, Mediterranean, Desserts",15,3.9
4312,Chill House Kafe,Cheyenne,"Pizza, Mexican, BBQ, Fast Food, Seafood",45,0.0
4313,Connoisseur,Hilton Head,"Desserts, Tea, Italian, Cafe, Seafood",61,0.0
4314,Mahesh Chaat Corner,Christiansted,"Tea, BBQ, Fast Food",92,0.0
4315,Pind Balluchi,Monterey,"Bakery, American, Desserts",46,0.0
4316,Queen's Way,Cincinnati,"Cafe, Fast Food",99,0.0
4317,Sea Lord,Minot,"Cafe, Bakery, Desserts, Seafood",80,0.0
4318,52 Janpath,Nantucket,"Desserts, Mexican, BBQ, Bakery, Cafe",10,4.2
4319,Cafe Southall,Rockford,"Seafood, Pizza, Cafe, Fast Food",56,4.2
4320,Saravana Bhavan,Manhattan,"Desserts, Pizza, BBQ",93,4.2
4321,Tourist Janpath,Boise,"Fast Food, Pizza, BBQ, Seafood",59,4.1
4322,Cafe Coffee Day,Presque Isle,"Tea, Pizza, Mediterranean",49,3.1
4323,Cafe Punjabi,Aberdeen,"Tea, Indian, Desserts, Seafood",19,3.3
4324,Chai Garam,Portsmouth,"Desserts, Mexican, Bakery, Cafe, Seafood",42,2.9
4325,Chai Shots,Dothan,"Desserts, Tea, Pizza, Bakery, Indian",58,3.0
4326,Chao Cart,Scranton,"French, Bakery, Fast Food",90,3.1
4327,Deli Belly,Bakersfield,"Tea, Indian, Desserts",99,2.6
4328,Ego,Presque Isle,"Tea, Cafe, Pizza, Fast Food",33,3.3
4329,Fresh n Refresh,Fayetteville,"Fast Food, Cafe, BBQ, Italian",33,2.8
4330,Jack Po!tato's,Chattanooga,"Tea, Bakery, Mediterranean, Seafood",63,3.3
4331,Moti Mahal Delux,Bloomington,"Bakery, Desserts",59,2.8
4332,Pizza Hut Delivery,Iron Mountain,"Desserts, Seafood",27,2.5
4333,Riviera,Laredo,"Cafe, BBQ, Mediterranean, Fast Food",16,3.2
4334,Subway,Fort Leonard Wood,"Fast Food, American, BBQ, Italian",82,2.8
4335,Tamura,Bemidji,"Cafe, American, BBQ",85,3.3
4336,ANF Kitchen Express,Hilton Head,"Mexican, Bakery, Mediterranean, Seafood",38,3.5
4337,Mumu Dahlin,Oakland,"Cafe, Mexican, Pizza, Mediterranean",49,3.8
4338,Startup Cafe,St. Louis,"Bakery, Pizza, American, Cafe",31,3.7
4339,Starvin' Marvin,Albany,"Tea, Cafe, Mexican, Indian",20,3.8
4340,Wok On Wheels,Oakland,"Tea, Pizza, Bakery, Mediterranean",100,3.8
4341,Chai Mantra,Paducah,"Cafe, Seafood",74,0.0
4342,Sagar Ratna,Charleston,"Cafe, Pizza, French, Fast Food, Chinese, Seafood",84,2.4
4343,Paatra - Jaypee Siddharth,North Platte,"Tea, Bakery, BBQ",35,3.4
4344,Eggspectation - Jaypee Siddharth,Pensacola,"Cafe, BBQ, Italian",25,3.5
4345,Ano Tai - Jaypee Vasant Continental,Moline,"Tea, American, BBQ",27,3.4
4346,Tapas - Jaypee Vasant Continental,Myrtle Beach,"BBQ, Mediterranean, Seafood",90,3.2
4347,The Old Baker - Jaypee Vasant Continental,Salisbury,"Tea, BBQ, Desserts, Seafood",15,3.3
4348,Eggspectation - Jaypee Vasant Continental,Rockford,"Tea, Mediterranean, Seafood",77,3.6
4349,Paatra - Jaypee Vasant Continental,Gainesville,"Desserts, Pizza, Mexican, Cafe, Seafood",18,3.5
4350,Ambarsaria by Gourmet Affaire's,Portsmouth,"Cafe, Desserts, American, BBQ",63,3.1
4351,August Moon,Santa Ana,"BBQ, Pizza, Bakery, Desserts",45,2.8
4352,Keventers,Laredo,"Pizza, Bakery, Mediterranean, Fast Food",68,3.3
4353,Moets Curry Leaf Express,Midland,"Tea, Pizza, BBQ, Bakery, Chinese",27,3.2
4354,Natural Ice Cream,Oklahoma City,"Desserts, Italian, Fast Food, Mediterranean, Seafood",45,4.5
4355,"34, Chowringhee Lane",Gainesville,"French, BBQ, Fast Food, Chinese, Seafood",25,3.2
4356,Qureshi,Melbourne,"Tea, French, Cafe, Desserts",76,3.0
4357,Shree Ram Sweet Centre,Hagerstown,"Tea, Italian, Bakery, BBQ, Seafood",46,2.7
4358,Teflas,Billings,"Cafe, Bakery, BBQ, Italian",80,3.4
4359,The Viraj Food Zone,Baltimore,"Chinese, BBQ, Desserts",75,3.2
4360,RollsKing,Charlottesville,"Tea, Chinese, Pizza, BBQ",63,3.5
4361,Secular House Canteen,Jacksonville,"Desserts, BBQ, Fast Food, Chinese, Seafood",64,3.8
4362,Amul Ice-Cream Parlour,Waco,"Cafe, Desserts",83,0.0
4363,Sunny Restaurant & Tiffin,Aberdeen,"Tea, Chinese, Desserts, Fast Food",54,0.0
4364,Kerala Cafe,Tallahassee,"Tea, Pizza, Bakery, Chinese, Seafood",10,2.3
4365,Veer Jee Restaurant,Wichita,"Desserts, Tea, Italian, BBQ, Fast Food",33,3.1
4366,Oval Bar - JW Marriott New Delhi,Laramie,"Desserts, Pizza, Bakery, BBQ, Chinese, Mediterranean",59,3.3
4367,Bakey Wish,Bismarck,"American, Desserts, Fast Food",86,3.0
4368,Bikaner Namkeen Bhandar,Decatur,"Fast Food, BBQ, Desserts, Italian",83,3.1
4369,Chhole Bhature Corner,Rapid City,"Bakery, Pizza, Seafood",29,3.3
4370,Fresh n Frozen,Idaho Falls,"French, Bakery, Mediterranean, Seafood",31,3.1
4371,Pind Punjabi,Madison,"Bakery, Indian, Fast Food",42,3.0
4372,Sanjha Chulha,Evansville,"Tea, Bakery, Fast Food, Chinese, Seafood",66,3.1
4373,Shaan e Punjab,Amarillo,"Cafe, BBQ, Desserts, Italian",86,3.1
4374,Cafe 27,Latrobe,"Pizza, Seafood",12,3.6
4375,MR.D - Deliciousness Delivered,Hilton Head,"Tea, French, Mexican, Fast Food",18,3.5
4376,Pita Pit,Sioux City,"French, Pizza, BBQ",83,3.8
4377,Al-Malik Chicken Point,Moab,"French, Mexican, Cafe, Seafood",28,0.0
4378,Amul Sweets & Bakery,Seattle,"Desserts, Tea, Pizza, BBQ, Indian",36,0.0
4379,Elements - Mapple Express,Las Vegas,"Tea, BBQ, Mediterranean, Seafood",64,0.0
4380,Food 24,Rochester,"Fast Food, Tea, Bakery, Seafood",48,0.0
4381,Food Corner,Dillingham,"Tea, BBQ",38,0.0
4382,Food Master's Galley,Butte,"Desserts, BBQ, Fast Food, Cafe, Indian",74,0.0
4383,Habibi Express,Norfolk,"Tea, Chinese, Cafe, Italian",14,0.0
4384,Hide Out Cafe,Omaha,"Tea, Cafe, Bakery, Fast Food, Chinese",90,0.0
4385,Moriarty Delivers,Pasco,"Cafe, Mexican, Bakery",12,0.0
4386,Big Chill,West Palm Beach,"French, BBQ, Fast Food",84,4.4
4387,Maxims Pastry Shop,Beaumont,"Fast Food, Cafe, BBQ, Seafood",81,4.2
4388,Uncultured Cafe & Bar,Watertown,"Tea, Cafe, Desserts, Seafood",39,4.3
4389,2 Nice 2 Slice,Augusta,"Seafood, Cafe, Italian",86,3.2
4390,Aggarwal Bikaneri Sweets,Jacksonville,"Bakery, BBQ, Cafe, Indian, Seafood",38,2.9
4391,Aggarwal Sweet Corner & Restaurant,Stockton,"Tea, Seafood, Pizza, Italian",33,2.6
4392,Aggarwal Sweets India,Greensboro,"Cafe, Pizza, Bakery, Mediterranean",34,2.8
4393,Aggarwal's Sweets Paradise,Louisville,"Tea, French, Bakery, Cafe",60,2.7
4394,Aggarwal's Sweets,Lewisburg,"Pizza, French, BBQ, Fast Food, Cafe",85,2.9
4395,Anna Ka Dosa,Redding,"Pizza, Mediterranean, Desserts",42,3.4
4396,Big Chow Xpress,Cedar Rapids,"Desserts, Tea, Bakery, BBQ, Chinese",43,2.6
4397,Bikaner Sweets & Namkeen,Philadelphia,"Desserts, BBQ, Fast Food, Chinese, Seafood",83,2.9
4398,Cafe Coffee Day,St. Petersburg,"Tea, Desserts",16,2.9
4399,Cake Plaza,Durango,"Cafe, Desserts, Italian",95,3.1
4400,Crispy Tokri,Spokane,"Cafe, Mexican, Bakery",91,3.1
4401,De Royale Food's,Decatur,"Cafe, Bakery, American",95,3.2
4402,Faasos,International Falls,"Tea, Chinese, Fast Food",67,3.0
4403,Fouji Da Vaishno Dhaba,Yakutat,"Tea, Chinese, Bakery",40,2.9
4404,Fun Bytes,Orlando,"Desserts, Tea, French, BBQ, Fast Food",13,2.5
4405,G's Patisserie,Houston,"Desserts, Tea, Pizza, Fast Food, American",65,2.8
4406,Giani,San Francisco,"Tea, Pizza, Bakery, Fast Food, Chinese, Indian",74,3.2
4407,Gopals 56,Punta Gorda,"Cafe, Bakery, BBQ",46,3.2
4408,Green Chick Chop,Kansas City,"Cafe, BBQ, Mediterranean, Desserts",41,3.2
4409,Heaven's Kitchen,Nantucket,"Fast Food, French, Chinese, Seafood",42,3.3
4410,Heavens Food Corner,Brainerd,"Tea, French, BBQ, Seafood",31,2.8
4411,Just Kababs,Augusta,"Tea, Pizza, BBQ, American, Seafood",31,3.4
4412,Keventers,Las Vegas,"Italian, French, Bakery, BBQ, Seafood",66,3.2
4413,Komal Kitchen,Beaumont,"Fast Food, Pizza, Bakery, Italian",36,2.8
4414,Kwality Sweets & Restaurant,Panama City,"Tea, Pizza",42,2.9
4415,Mehak Food Corner,Lynchburg,"Bakery, Desserts",99,3.2
4416,Mr. Sub,Oakland,"French, Pizza, Fast Food",66,3.2
4417,Muradabadi Shahi Biryani & Chicken Corner,Santa Barbara,"Desserts, Tea, Pizza, French, Seafood",29,2.6
4418,Muradabadi,Chattanooga,"Cafe, Pizza, Bakery, BBQ",16,3.0
4419,New Radhe Radhe Snacks Corner,Deadhorse,"Desserts, Tea, Pizza, BBQ, Mediterranean",77,3.1
4420,Nirula's Ice Cream,Gunnison,"Tea, Bakery, BBQ",16,3.2
4421,Noor Restaurant,Pellston,"Cafe, Chinese, Pizza, Mediterranean",97,3.4
4422,Paul's Homemade,San Juan,"Tea, BBQ, Seafood",54,3.1
4423,Pinkom's Bar-Be-Que,Oklahoma City,"Desserts, Tea, Pizza, Italian, Mexican",66,3.2
4424,Prince of China,Nantucket,"Desserts, Pizza, Bakery, Fast Food, American",41,3.1
4425,Punjabi Corner,Butte,"Cafe, BBQ, Mediterranean, Seafood",87,3.3
4426,Punjabi Snacks,Little Rock,"Tea, French, Desserts, Fast Food",41,2.9
4427,Quality Food Point,Grand Island,"Cafe, Bakery, BBQ, Fast Food, Chinese",41,3.0
4428,Radhe Shyam,Atlanta,"Pizza, Fast Food",32,2.8
4429,Raj South Indian Food,Petersburg,"French, Mexican, BBQ, Fast Food, Cafe",67,3.0
4430,Roll Club,Charlotte Amalie,"Tea, Bakery, Desserts, Fast Food",47,3.3
4431,Shameem Kabab Corner,Roanoke,"Desserts, Tea, Mexican, Cafe, Seafood",72,3.3
4432,Shiv Dhaba,Washington,"Bakery, American, Cafe, Seafood",61,3.1
4433,Silver Spoons,North Platte,"Bakery, Mexican, Pizza, Italian",47,2.7
4434,Takkar Dhaba,Richmond,"Fast Food, Indian, Seafood",45,2.6
4435,The Biryani Wallas,Melbourne,"Tea, BBQ, Desserts, Italian",61,3.2
4436,The Tuck Shop,State College,"Bakery, BBQ, Mediterranean",20,3.3
4437,Uncle Xpress,Reno,"Chinese, Pizza, Fast Food",17,3.4
4438,Vaishno Rasoi,Salisbury,"Pizza, Fast Food",80,2.6
4439,Vatika,Eau Claire,"Tea, Cafe, BBQ, Fast Food",25,2.7
